1,2,3,4,5,6,7,8,9
sphere2D_-0.8_-33.7_32.4_16.csv,79,16,"[-0.8, -33.7, 32.4]","[-0.8878650389132158, -34.55323687049414, -33.52823667993054]",0,705789.6469062252,0,0.00012155
sphere2D_-1.2_28.8_17.7_10.csv,52,10,"[-1.2, 28.8, 17.7]","[-1.6393477591181191, 29.02091877749293, -17.466209861816687]",5,35700.96449318478,5,0.00043865
sphere2D_-1.7_-2.3_29.5_10.csv,52,10,"[-1.7, -2.3, 29.5]","[-1.6516018083171928, -2.1547281190224483, 29.557044252724786]",5,129700.35446755763,5,0.0004396
sphere2D_-10.8_-29.9_7.0_11.csv,56,11,"[-10.8, -29.9, 7.0]","[-10.733086212972248, -30.059912821228348, -7.238410945649278]",5,5624.606035919557,6,0.00050695
sphere2D_-12.9_18.7_5.6_25.csv,126,25,"[-12.9, 18.7, 5.6]","[-12.594586615138613, 18.579777446610944, -5.714150391613598]",6,6838.141945043502,7,0.00128075
sphere2D_-13.7_47.5_3.3_10.csv,52,10,"[-13.7, 47.5, 3.3]","[-14.115268802418479, 47.31784805969095, -3.449020535123852]",6,691.1385019089398,6,0.00052765
sphere2D_-14.0_-14.2_23.7_29.csv,143,29,"[-14.0, -14.2, 23.7]","[-13.795803387831318, -14.262772083961044, 23.38641173514377]",6,156776.0718527474,6,0.0014465
sphere2D_-14.2_-19.2_24.9_15.csv,75,15,"[-14.2, -19.2, 24.9]","[-13.861462976362619, -19.187791990988256, -24.905996998967584]",6,106054.75724539111,8,0.0007845
sphere2D_-14.4_-24.7_10.6_16.csv,79,16,"[-14.4, -24.7, 10.6]","[-14.362522379298374, -24.972654363361343, -10.45821900524549]",8,15974.592604599196,8,0.00102705
sphere2D_-15.5_-12.6_29.8_18.csv,89,18,"[-15.5, -12.6, 29.8]","[-15.56600781524605, -12.749910715226017, 30.063309351799496]",7,209876.65335744715,14,0.0010683
sphere2D_-16.0_-6.8_35.1_20.csv,101,20,"[-16.0, -6.8, 35.1]","[-16.30427516493709, -6.907062833387488, 35.082865420221516]",7,324112.9287556114,19,0.00121865
sphere2D_-17.5_40.3_23.1_21.csv,105,21,"[-17.5, 40.3, 23.1]","[-17.650938821821264, 40.239544023003226, -22.89511762267125]",6,76015.34437762652,9,0.00114945
sphere2D_-2.4_-31.3_16.4_18.csv,91,18,"[-2.4, -31.3, 16.4]","[-2.716478499139026, -30.90589491369102, -16.261601766141094]",6,44984.82345383257,11,0.00095875
sphere2D_-2.4_48.1_27.0_15.csv,76,15,"[-2.4, 48.1, 27.0]","[-2.3572589677461058, 48.09096673266263, -27.063632329341257]",5,114636.73881880961,5,0.0006605
sphere2D_-2.5_28.0_38.9_19.csv,93,19,"[-2.5, 28.0, 38.9]","[-0.7788239578333399, 28.721180976964135, 40.85557376542413]",0,2.4730412016788786e6,0,0.00015205
sphere2D_-2.5_41.2_10.9_13.csv,66,13,"[-2.5, 41.2, 10.9]","[-2.361003503170024, 41.241540714244685, -10.862871546451697]",4,16877.692793312224,4,0.00046635
