1,2,3,4,5,6,7,8,9,10
sphere2D_-0.8_-33.7_32.4_16.csv,79,16,"[-0.8, -33.7, 32.4]","[-0.9497303247975403, -33.62540702961823, -32.23591403641611]",3,4,253445.3946188613,3,0.0009306
sphere2D_-1.2_28.8_17.7_10.csv,52,10,"[-1.2, 28.8, 17.7]","[-1.6393477621524295, 29.020918777078773, -17.46620989977576]",3,4,35700.96449318487,3,0.00058345
sphere2D_-1.7_-2.3_29.5_10.csv,52,10,"[-1.7, -2.3, 29.5]","[-1.6516018080292718, -2.154728119588889, 29.5570442542811]",4,4,129700.35446755773,4,0.00065705
sphere2D_-10.8_-29.9_7.0_11.csv,56,11,"[-10.8, -29.9, 7.0]","[-10.733086215187662, -30.05991281918814, -7.2384109556707985]",4,4,5624.606035919559,4,0.0007059
sphere2D_-12.9_18.7_5.6_25.csv,126,25,"[-12.9, 18.7, 5.6]","[-12.594586616499287, 18.5797774477111, -5.714150386261703]",4,5,6838.141945043502,4,0.00187605
sphere2D_-13.7_47.5_3.3_10.csv,52,10,"[-13.7, 47.5, 3.3]","[-14.115268777740397, 47.317848116514966, -3.4490204241606044]",4,5,691.1385019089671,4,0.00080495
sphere2D_-14.0_-14.2_23.7_29.csv,143,29,"[-14.0, -14.2, 23.7]","[-13.795803387851475, -14.262772083950237, 23.38641173499384]",5,5,156776.07185274747,5,0.00227895
sphere2D_-14.2_-19.2_24.9_15.csv,75,15,"[-14.2, -19.2, 24.9]","[-13.861462976344214, -19.187791991006033, -24.90599699855039]",4,5,106054.75724539114,4,0.0011517
sphere2D_-14.4_-24.7_10.6_16.csv,79,16,"[-14.4, -24.7, 10.6]","[-14.36252237940072, -24.972654363637172, -10.458218999092738]",7,7,15974.5926045992,7,0.00182845
sphere2D_-15.5_-12.6_29.8_18.csv,89,18,"[-15.5, -12.6, 29.8]","[-15.566007815220729, -12.749910715259336, 30.063309351597585]",5,6,209876.65335744718,5,0.001657
sphere2D_-16.0_-6.8_35.1_20.csv,101,20,"[-16.0, -6.8, 35.1]","[-16.30427516493171, -6.907062833383429, 35.082865420184106]",5,5,324112.92875561106,5,0.0015992
sphere2D_-17.5_40.3_23.1_21.csv,105,21,"[-17.5, 40.3, 23.1]","[-17.65093882178048, 40.23954402300783, -22.895117623170208]",4,5,76015.34437762652,4,0.00152865
sphere2D_-2.4_-31.3_16.4_18.csv,91,18,"[-2.4, -31.3, 16.4]","[-2.7164784990468265, -30.905894913671126, -16.261601767086695]",4,5,44984.82345383257,4,0.0013405
sphere2D_-2.4_48.1_27.0_15.csv,76,15,"[-2.4, 48.1, 27.0]","[-2.357258967830026, 48.09096673265161, -27.063632329816254]",5,5,114636.73881880971,5,0.0012125
sphere2D_-2.5_28.0_38.9_19.csv,93,19,"[-2.5, 28.0, 38.9]","[-2.1986368603852195, 28.24743363904615, 38.96486209792222]",3,4,400173.36325485766,3,0.00105225
sphere2D_-2.5_41.2_10.9_13.csv,66,13,"[-2.5, 41.2, 10.9]","[-2.3610035008492596, 41.24154072467694, -10.86287183634791]",2,3,16877.692793314312,2,0.00049005
sphere2D_-21.9_20.6_20.5_28.csv,142,28,"[-21.9, 20.6, 20.5]","[-21.83082475176725, 20.74608987797183, -20.505205863753236]",5,5,146081.4920994629,5,0.00231445
sphere2D_-24.4_44.9_9.2_8.csv,39,8,"[-24.4, 44.9, 9.2]","[-24.277089830542554, 44.81322334702446, -9.127565835676291]",4,5,3802.2699877270043,4,0.0005635
sphere2D_-24.8_49.7_4.6_13.csv,63,13,"[-24.8, 49.7, 4.6]","[-25.03986154289053, 49.92716802750863, -4.846953598209816]",6,5,2325.9114963539196,6,0.00109425
sphere2D_-25.5_12.5_26.9_26.csv,130,26,"[-25.5, 12.5, 26.9]","[-25.52195834111446, 12.466122933463371, -26.85187601360229]",6,6,175875.3563806004,6,0.0024821
sphere2D_-26.2_36.5_35.5_16.csv,80,16,"[-26.2, 36.5, 35.5]","[-26.18609263531267, 36.49736277310033, -35.50846823166218]",3,4,259589.1799744169,3,0.00092255
sphere2D_-28.0_-15.9_26.4_21.csv,107,21,"[-28.0, -15.9, 26.4]","[-28.084936571215664, -15.53693774391938, -26.508024408275798]",3,4,199263.54686442463,3,0.00119155
sphere2D_-28.1_15.3_20.2_26.csv,132,26,"[-28.1, 15.3, 20.2]","[-27.86322630075013, 15.263748887017865, -20.123400175575064]",4,4,130511.28701318128,4,0.0016379
sphere2D_-29.5_-16.4_35.7_11.csv,56,11,"[-29.5, -16.4, 35.7]","[-29.17660351609652, -16.124804697789973, 35.84217909089054]",3,3,84999.6255526044,3,0.0004976
sphere2D_-30.3_-15.6_2.7_19.csv,95,19,"[-30.3, -15.6, 2.7]","[-29.950495023642443, -15.578536206864891, -2.747190881407371]",8,7,1139.6519231486718,8,0.00224435
