1,2,3,4,5,6,7
sphere2D_-0.3_-16.9_34.6_40.csv,132,40,"[-0.3, -16.9, 34.6]","[-0.3000000000000045, -16.9, 34.59999999999998]",5,1.8590884267129297e-22
sphere2D_-12.1_16.9_10.5_44.csv,148,44,"[-12.1, 16.9, 10.5]","[-12.100000000000001, 16.9, -10.499999999999996]",5,6.8298946085311025e-25
sphere2D_-12.3_45.3_8.1_18.csv,60,18,"[-12.3, 45.3, 8.1]","[-12.300000000000104, 45.299999999999926, -8.10000000000033]",5,1.2522660232355793e-21
sphere2D_-13.0_-26.6_8.7_32.csv,108,32,"[-13.0, -26.6, 8.7]","[-13.000000000000204, -26.600000000000044, -8.700000000001223]",4,3.437087754634878e-20
sphere2D_-13.1_37.0_12.9_31.csv,103,31,"[-13.1, 37.0, 12.9]","[-13.1, 37.0, -12.899999999999999]",5,2.3345234084748535e-25
sphere2D_-14.4_-23.6_3.0_7.csv,24,7,"[-14.4, -23.6, 3.0]","[-14.400000000032888, -23.60000000001507, -2.9999999999960463]",5,3.648023583854584e-19
sphere2D_-14.5_37.5_38.7_44.csv,147,44,"[-14.5, 37.5, 38.7]","[-14.500000000000002, 37.5, -38.7]",24,6.979336418416171e-24
sphere2D_-16.8_-45.7_14.9_15.csv,50,15,"[-16.8, -45.7, 14.9]","[-16.79999999999999, -45.69999999999999, -14.89999999999998]",5,1.3567700750430325e-23
sphere2D_-19.4_-20.1_19.0_21.csv,71,21,"[-19.4, -20.1, 19.0]","[-19.4, -20.1, -19.0]",5,3.166550782429559e-25
sphere2D_-19.5_34.6_33.4_32.csv,108,32,"[-19.5, 34.6, 33.4]","[-19.5, 34.6, -33.4]",5,3.5155176033503676e-24
sphere2D_-2.1_-1.4_26.9_12.csv,40,12,"[-2.1, -1.4, 26.9]","[-2.099999999999937, -1.400000000000212, 26.90000000000118]",4,1.101005571147695e-19
sphere2D_-2.5_-24.4_25.7_34.csv,115,34,"[-2.5, -24.4, 25.7]","[-2.500000000002096, -24.400000000003214, -25.700000000000163]",21,1.5664721088748627e-18
sphere2D_-21.0_-29.6_12.6_44.csv,148,44,"[-21.0, -29.6, 12.6]","[-20.999999999999964, -29.60000000000009, -12.599999999999952]",5,4.751086331608775e-22
sphere2D_-22.2_-32.8_14.8_16.csv,54,16,"[-22.2, -32.8, 14.8]","[-22.199999999999903, -32.80000000000004, -14.800000000001226]",5,4.9465752020872677e-20
sphere2D_-23.6_-8.9_18.9_42.csv,139,42,"[-23.6, -8.9, 18.9]","[-23.6, -8.900000000000002, -18.9]",5,6.785465962349055e-25
sphere2D_-24.5_-6.5_35.6_18.csv,60,18,"[-24.5, -6.5, 35.6]","[-24.500000000000245, -6.499999999999839, 35.59999999999871]",5,3.507450524426444e-19
sphere2D_-24.5_27.9_29.4_12.csv,41,12,"[-24.5, 27.9, 29.4]","[-22.159270123697087, 28.725876448915283, -29.780703969103335]",0,291573.2159666137
sphere2D_-25.0_0.7_31.3_30.csv,100,30,"[-25.0, 0.7, 31.3]","[-24.999999999999996, 0.7000000000000003, 31.3]",5,3.2311742677852644e-24
sphere2D_-25.1_50.0_12.6_8.csv,26,8,"[-25.1, 50.0, 12.6]","[-25.30237827074585, 49.55449598279853, -12.360841211675114]",0,2139.968943602629
sphere2D_-25.3_-6.4_5.2_42.csv,139,42,"[-25.3, -6.4, 5.2]","[-25.299999999999997, -6.400000000000008, -5.199999999999871]",5,1.7286037647956636e-22
sphere2D_-25.6_37.4_33.8_13.csv,42,13,"[-25.6, 37.4, 33.8]","[-25.6, 37.4, -33.8]",6,1.2924697071141057e-24
sphere2D_-26.4_-41.7_22.3_30.csv,100,30,"[-26.4, -41.7, 22.3]","[-26.4, -41.7, -22.3]",5,6.591595506281939e-25
sphere2D_-28.2_36.9_28.8_14.csv,46,14,"[-28.2, 36.9, 28.8]","[-28.2, 36.9, -28.8]",6,9.564275832644382e-25
sphere2D_-29.4_22.2_21.3_17.csv,56,17,"[-29.4, 22.2, 21.3]","[-29.399999999999995, 22.2, -21.299999999999997]",5,1.22138387322283e-24
sphere2D_-31.1_-47.1_12.7_31.csv,104,31,"[-31.1, -47.1, 12.7]","[-31.09999999999996, -47.1, -12.69999999999999]",6,4.6371389710553275e-23
sphere2D_-32.1_-40.0_31.3_16.csv,52,16,"[-32.1, -40.0, 31.3]","[-32.1, -40.0, -31.30000000000009]",5,1.1395059172771513e-21
sphere2D_-32.1_-5.2_31.7_30.csv,101,30,"[-32.1, -5.2, 31.7]","[-32.09999999999982, -5.199999999999902, -31.69999999999864]",4,5.29385471996131e-19
sphere2D_-33.4_4.3_29.6_17.csv,58,17,"[-33.4, 4.3, 29.6]","[-33.36679602767699, 3.6398717745544036, -31.04175664713344]",0,307221.2960497947
sphere2D_-34.3_-1.8_19.8_40.csv,133,40,"[-34.3, -1.8, 19.8]","[-34.3, -1.7999999999999998, -19.8]",5,3.521979951885938e-25
sphere2D_-35.2_-37.0_11.8_33.csv,110,33,"[-35.2, -37.0, 11.8]","[-35.20000000000171, -37.00000000000063, -11.799999999991678]",5,3.039861742554466e-18
sphere2D_-35.9_29.4_9.2_45.csv,149,45,"[-35.9, 29.4, 9.2]","[-35.9, 29.400000000000002, -9.19999999999999]",5,2.913711395975362e-24
sphere2D_-36.7_11.6_33.6_34.csv,113,34,"[-36.7, 11.6, 33.6]","[-36.7, 11.600000000000001, -33.6]",5,3.5155176033503676e-24
sphere2D_-38.6_43.9_29.6_34.csv,112,34,"[-38.6, 43.9, 29.6]","[-38.599999999999994, 43.9, -29.599999999999998]",5,1.4243016172397445e-23
sphere2D_-38.9_7.0_25.6_20.csv,65,20,"[-38.9, 7.0, 25.6]","[-38.9, 7.000000000000001, -25.6]",6,4.3943970041879595e-25
sphere2D_-40.3_13.4_29.3_40.csv,134,40,"[-40.3, 13.4, 29.3]","[-40.30000000000009, 13.400000000000102, -29.3000000000014]",4,6.333921895382223e-19
sphere2D_-40.6_-10.7_5.5_28.csv,95,28,"[-40.6, -10.7, 5.5]","[-40.59999999999326, -10.699999999996846, -5.499999999997921]",5,2.593167543839101e-19
sphere2D_-40.6_-27.2_26.8_12.csv,41,12,"[-40.6, -27.2, 26.8]","[-40.6, -27.2, -26.8]",6,4.652890945610781e-25
sphere2D_-40.6_-5.9_2.5_10.csv,33,10,"[-40.6, -5.9, 2.5]","[-40.60000000029041, -5.899999999684039, -2.499999999902962]",5,4.916788267912029e-17
sphere2D_-41.1_-35.9_13.9_9.csv,30,9,"[-41.1, -35.9, 13.9]","[-41.09999999999999, -35.90000000000002, -13.899999999999963]",6,2.3684507382865988e-23
sphere2D_-41.9_39.2_23.5_40.csv,134,40,"[-41.9, 39.2, 23.5]","[-41.9, 39.2, -23.5]",5,1.124448645189272e-24
sphere2D_-44.2_-39.7_35.8_32.csv,108,32,"[-44.2, -39.7, 35.8]","[-44.2, -39.7, -35.8]",5,7.134432783269864e-24
sphere2D_-44.7_-37.7_40.0_24.csv,81,24,"[-44.7, -37.7, 40.0]","[-44.7, -37.7, -40.0]",5,6.979336418416171e-24
sphere2D_-45.1_39.3_17.0_44.csv,146,44,"[-45.1, 39.3, 17.0]","[-45.1, 39.3, -17.0]",5,5.977672395402739e-25
sphere2D_-49.7_48.2_32.7_38.csv,126,38,"[-49.7, 48.2, 32.7]","[-49.70000000000002, 48.20000000000002, -32.69999999999989]",5,4.999117730752507e-21
sphere2D_-7.4_-14.9_7.8_13.csv,42,13,"[-7.4, -14.9, 7.8]","[-7.399999999999957, -14.900000000000045, -7.799999999999941]",5,3.653998664273933e-23
sphere2D_-7.5_-40.5_39.8_17.csv,56,17,"[-7.5, -40.5, 39.8]","[-7.222487056095767, -40.36100278999146, -39.64233395796913]",0,13739.951638238572
sphere2D_-9.2_36.0_2.7_32.csv,108,32,"[-9.2, 36.0, 2.7]","[-9.200000000000692, 35.99999999999891, -2.69999999999951]",5,2.150653570872887e-21
sphere2D_0.2_-36.1_34.2_28.csv,92,28,"[0.2, -36.1, 34.2]","[0.20000000000000034, -36.1, -34.20000000000001]",5,2.150669592637872e-23
sphere2D_0.5_4.3_32.1_35.csv,117,35,"[0.5, 4.3, 32.1]","[0.49999999999999944, 4.3, 32.1]",5,1.5509636485369269e-24
sphere2D_0.6_-5.8_12.6_16.csv,54,16,"[0.6, -5.8, 12.6]","[0.5999999999999867, -5.799999999999994, 12.600000000000499]",5,6.026228866711882e-21
sphere2D_0.8_-27.1_29.7_40.csv,133,40,"[0.8, -27.1, 29.7]","[0.7999999999999241, -27.099999999999874, 29.699999999998887]",5,4.0880575144183934e-19
sphere2D_10.1_39.7_23.1_18.csv,59,18,"[10.1, 39.7, 23.1]","[10.099999999999735, 39.69999999999978, -23.10000000000187]",4,2.981951470065514e-19
sphere2D_10.2_46.7_3.5_24.csv,81,24,"[10.2, 46.7, 3.5]","[10.222553947435708, 46.86866330687897, -3.744852277269415]",0,200.09214374723138
sphere2D_11.5_-28.8_21.6_30.csv,99,30,"[11.5, -28.8, 21.6]","[11.499999999999954, -28.799999999999947, -21.59999999999987]",5,2.616514449173009e-21
sphere2D_11.6_-27.0_25.8_26.csv,87,26,"[11.6, -27.0, 25.8]","[11.6, -27.0, -25.8]",5,8.788794008375919e-25
sphere2D_12.7_-37.5_6.3_7.csv,22,7,"[12.7, -37.5, 6.3]","[12.700000000005275, -37.50000000001344, -6.299999999976088]",6,1.3900312825779864e-18
sphere2D_13.5_-42.4_27.1_7.csv,22,7,"[13.5, -42.4, 27.1]","[13.5, -42.4, -27.1]",6,4.1359030627651384e-25
sphere2D_15.7_49.8_19.7_38.csv,128,38,"[15.7, 49.8, 19.7]","[15.70000000000001, 49.799999999999976, -19.699999999999957]",5,3.1535291501303845e-22
sphere2D_15.8_-37.3_22.1_9.csv,29,9,"[15.8, -37.3, 22.1]","[15.799999999999699, -37.29999999999941, -22.10000000000371]",5,5.226419402134293e-19
sphere2D_18.0_-7.4_6.1_27.csv,91,27,"[18.0, -7.4, 6.1]","[17.99999999999999, -7.3999999999999995, -6.099999999999936]",5,3.932071502275616e-23
sphere2D_19.5_-11.9_23.8_36.csv,121,36,"[19.5, -11.9, 23.8]","[19.293613761579273, -10.578529630413488, 24.5807648294625]",0,220978.99100003997
sphere2D_21.5_43.7_2.7_23.csv,77,23,"[21.5, 43.7, 2.7]","[21.499999999998266, 43.699999999996486, -2.69999999999923]",5,1.1365964166629159e-20
sphere2D_21.6_30.0_25.4_24.csv,80,24,"[21.6, 30.0, 25.4]","[21.6, 30.0, -25.4]",6,1.1890721305449773e-24
sphere2D_23.8_-14.1_29.4_20.csv,67,20,"[23.8, -14.1, 29.4]","[24.736882216875497, -13.259863992728425, 29.38958882911797]",0,130568.00458571894
sphere2D_24.3_-12.3_31.2_29.csv,98,29,"[24.3, -12.3, 31.2]","[24.3, -12.300000000000002, 31.2]",5,2.029177440169146e-24
sphere2D_25.8_15.2_11.9_22.csv,72,22,"[25.8, 15.2, 11.9]","[25.8, 15.199999999999996, -11.899999999999991]",5,2.576053684991802e-24
sphere2D_26.6_-24.7_27.3_8.csv,25,8,"[26.6, -24.7, 27.3]","[26.6, -24.7, -27.299999999999997]",5,9.17653492051015e-25
sphere2D_27.2_-0.6_6.9_15.csv,50,15,"[27.2, -0.6, 6.9]","[27.200000000000035, -0.5999999999999042, -6.90000000000012]",4,1.2760492833820045e-22
sphere2D_28.1_-1.4_3.1_20.csv,66,20,"[28.1, -1.4, 3.1]","[28.100000000001675, -1.4000000000028654, -3.099999999997601]",5,1.84720364363683e-20
sphere2D_28.4_45.2_31.3_13.csv,44,13,"[28.4, 45.2, 31.3]","[28.39999999999999, 45.20000000000001, -31.30000000000006]",5,4.324086652120952e-22
sphere2D_29.1_-14.6_27.4_18.csv,60,18,"[29.1, -14.6, 27.4]","[28.82891616504255, -15.682659234162713, -27.80656360334812]",0,75755.32812257
sphere2D_29.2_-49.8_25.0_28.csv,94,28,"[29.2, -49.8, 25.0]","[29.2, -49.8, -25.0]",5,1.4217166778255163e-24
sphere2D_29.7_-17.7_22.7_42.csv,139,42,"[29.7, -17.7, 22.7]","[29.7, -17.7, -22.7]",5,8.530300066953098e-25
sphere2D_29.7_26.9_19.5_35.csv,116,35,"[29.7, 26.9, 19.5]","[29.7, 26.9, -19.5]",5,4.976008372389307e-25
